title	type	url_slug	venue	date	location	talk_url	description
Is Less More? Characterizing Resource Trade-offs for Simple Mobile Robots with Embodied Intelligence 	Talk	eth-talk	Autonomy Talks, Institute for Dynamic Systems and Control	2021-04-08	ETH Zurich	https://www.youtube.com/watch?v=yv1QflgML_M	
Information Requirements of Collision-Based Micro-manipulation	Conference proceedings talk	wafr20-talk	The 2020 Workshop on Algorithmic Foundations of Robotics	2021-03-05	YouTube	https://www.youtube.com/watch?v=rdep5EfSD-0	
